 Vale, ahora voy a llamar a Clínica Atrium, Fisioterapia, Oseopatia, Suelo Pélvico y Pilates en Maya Oliv.
 Voy a llamarla y veo que hay dos co-directoras, por lo cual preguntaré por alguna de ellas.
 Seis uno siete, nueve cinco, cinco ocho, tres siete.
 Hola, graba tu nombre y el motivo de la llamada y comprobaréis si esta persona está disponible.
 Javier, soy de Saria y llamaba para una propuesta comercial.
 Gracias, Javier Fidesaria. No cuelgues, por favor.
 He llamado, me ha contestado un bot preguntándome que quién era y el motivo de la llamada. Le he dicho que era Javier de Saria.
 Y le llamaba por una propuesta comercial y me han colgado. No me ha llevado a coger nadie la llamada.
 No me ha llevado a coger nadie la llamada.
 No me ha llevado a coger nadie la llamada.
 No me ha llevado a coger nadie la llamada.
 No me ha llevado a coger nadie la llamada.
 No me ha llevado a coger nadie la llamada.
 No me he llevado a coger nadie la llamada.
 No me he llevado a coger nadie la llamada.
 No me he llevado a coger nadie la llamada.
 No me he llevado a coger nadie la llamada.
 No me he llevado a coger nadie la llamada.
 No me he llevado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
 No me he levado a coger nadie la llamada.
